Date,Calories Burned,Time in Bed
12/1/15,2425,0
12/2/15,2425,0
12/3/15,2425,0
12/4/15,2425,0
12/5/15,2425,0
12/6/15,2425,0
12/7/15,3474,0
12/8/15,4991,321
12/9/15,5213,398
12/10/15,4290,334
12/11/15,3881,372
12/12/15,3679,535
12/13/15,4185,353
12/14/15,3594,416
12/15/15,4365,454
12/16/15,4382,536
12/17/15,4226,394
12/18/15,4181,413
12/19/15,4014,522
12/20/15,4541,405
12/21/15,3880,429
12/22/15,5295,448
12/23/15,4563,394
12/24/15,4306,408
12/25/15,5272,246
12/26/15,6636,356
12/27/15,3915,477
12/28/15,3622,403
12/29/15,4594,567
12/30/15,4195,403
12/31/15,4591,567
